senet:
Test set: Average loss: 2.8018, Accuracy: 0.5074
Test set: Average loss: 2.8010, Accuracy: 0.5074
Test set: Average loss: 2.8049, Accuracy: 0.5074
Test set: Average loss: 2.8126, Accuracy: 0.5000
Test set: Average loss: 2.8124, Accuracy: 0.5074
Test set: Average loss: 2.8131, Accuracy: 0.5037
Test set: Average loss: 2.8203, Accuracy: 0.5074
Test set: Average loss: 2.8246, Accuracy: 0.5074
Test set: Average loss: 2.8272, Accuracy: 0.5037
Test set: Average loss: 2.8283, Accuracy: 0.5074
Test set: Average loss: 2.8354, Accuracy: 0.5074
Test set: Average loss: 2.8351, Accuracy: 0.5074
Test set: Average loss: 2.8471, Accuracy: 0.5037
Test set: Average loss: 2.8436, Accuracy: 0.5037
Test set: Average loss: 2.8446, Accuracy: 0.5074
Test set: Average loss: 2.8517, Accuracy: 0.5037
Test set: Average loss: 2.8557, Accuracy: 0.5000
Test set: Average loss: 2.8586, Accuracy: 0.5074
Test set: Average loss: 2.8620, Accuracy: 0.5037
Test set: Average loss: 2.8571, Accuracy: 0.5074
Test set: Average loss: 2.8654, Accuracy: 0.5000
Test set: Average loss: 2.8708, Accuracy: 0.5037
Test set: Average loss: 2.8729, Accuracy: 0.5074
Test set: Average loss: 2.8767, Accuracy: 0.5074
Test set: Average loss: 2.8776, Accuracy: 0.5037
Test set: Average loss: 2.8803, Accuracy: 0.5074
Test set: Average loss: 2.8838, Accuracy: 0.5074
Test set: Average loss: 2.8843, Accuracy: 0.5074
Test set: Average loss: 2.8938, Accuracy: 0.5037
Test set: Average loss: 2.8868, Accuracy: 0.5037
Test set: Average loss: 2.8923, Accuracy: 0.5074
Test set: Average loss: 2.8954, Accuracy: 0.5074
Test set: Average loss: 2.9009, Accuracy: 0.5037
Test set: Average loss: 2.9056, Accuracy: 0.5074
Test set: Average loss: 2.9055, Accuracy: 0.5074
Test set: Average loss: 2.9109, Accuracy: 0.5037
Test set: Average loss: 2.9116, Accuracy: 0.5037
Test set: Average loss: 2.9136, Accuracy: 0.5074
Test set: Average loss: 2.9147, Accuracy: 0.5074
Test set: Average loss: 2.9211, Accuracy: 0.5074
Test set: Average loss: 2.9233, Accuracy: 0.5037
